metric,value,unit,source
trained_fno_leakage,0.11641644553492639,fraction,existence/day1_summary.json
local_cnn_leakage,0.0004943084035649946,fraction,existence/day1_summary.json
fno_masking_degradation,414.873678297709,ratio,consequence/causal_reliance.json
local_masking_degradation,1.0000000505139888,ratio,consequence/causal_reliance.json
headline_fno_ood_mse,0.662816039800644,mse,mitigation/mitigation_2d_full.json;robustness/mitigation_full_scale_mps_seeds_2_3.json
headline_fno_ood_mse_sd,0.007825880988689174,mse,mitigation/mitigation_2d_full.json;robustness/mitigation_full_scale_mps_seeds_2_3.json
headline_local_ood_mse,0.03213757907822728,mse,mitigation/mitigation_2d_full.json;robustness/mitigation_full_scale_mps_seeds_2_3.json
headline_local_ood_mse_sd,0.004028837369575026,mse,mitigation/mitigation_2d_full.json;robustness/mitigation_full_scale_mps_seeds_2_3.json
headline_fno_real_parameters,4200769,parameters,mitigation/mitigation_2d_full.json
headline_local_real_parameters,152065,parameters,mitigation/mitigation_2d_full.json
real_parameter_ratio_fno_to_local,27.624824910400157,ratio,mitigation/mitigation_2d_full.json
equal_width_1d_draws_won,36,draws,controls/locality_control_1d.json
era5_six_hour_improvement_width720,0.36600656453782554,fraction,era5/six_hour_z500.json
era5_six_hour_improvement_width96,0.028544431169728615,fraction,era5/six_hour_z500.json
trained_operator_count,26,operators,prediction/predictive_summary.json
released_checkpoint_count,6,checkpoints,deployed/deployed_fleet.csv
local_reference_count,1,references,deployed/deployed_fleet.csv
jacobian_spectral_radius_auroc,0.9881656804733728,auroc,prediction/predictive_summary.json
leakage_fraction_auroc,0.21301775147928995,auroc,prediction/predictive_summary.json
released_acausal_group_minimum,5.83,percent,deployed/deployed_fleet.csv
released_near_floor_group_maximum,0.7,percent,deployed/deployed_fleet.csv
